title,phone,email,platform,address,website,review_rating,review_count,category,industry,scraped_at,plus_code,open_hours,status,price_range,link,latitude,longitude,emails,contact_url
ZaZu Landscaping,+1 737-257-5655,info@zazulandscaping.com,WordPress,"9705 Burnet Rd Suite 304, Austin, TX 78758, United States",zazulandscaping.com,5.0,60,Lawn care service,Landscaping,2026-05-28T14:54:56.401696,"97JG+7C Austin, Texas, USA",,Closed · Opens 8 AM,,"https://www.google.com/maps/place/ZaZu+Landscaping/@30.380637,-97.723891,17z/data=!3m1!4b1!4m6!3m5!1s0xc89f48dc2f80813:0x91febed628cbf153!8m2!3d30.380637!4d-97.723891!16s%2Fg%2F11v15jtxbw?entry=ttu&g_ep=EgoyMDI2MDUyNS4wIKXMDSoASAFQAw%3D%3D",30.380637,-97.723891,['info@zazulandscaping.com'],https://zazulandscaping.com
ATX Prestige Landscaping,+1 512-749-8853,example@youremail.com,Webflow,,atxprestigelandscaping.com,5.0,208,Landscaper,Landscaping,2026-05-28T14:54:56.401696,,,Closed · Opens 7 AM,,"https://www.google.com/maps/place/ATX+Prestige+Landscaping/@30.4140535,-97.7248981,10z/data=!3m1!4b1!4m6!3m5!1s0x865b53ec2b6742f1:0x28e0d396bbf53e6a!8m2!3d30.4140535!4d-97.7248981!16s%2Fg%2F11fwjtsfxb?entry=ttu&g_ep=EgoyMDI2MDUyNS4wIKXMDSoASAFQAw%3D%3D",30.4140535,-97.7248981,['example@youremail.com'],https://atxprestigelandscaping.com
Austin Creative Landscaping LLC,+1 512-552-5677,info@austincreativelandscaping.com,,"11506 Easy St, Austin, TX 78748, United States",austincreativelandscaping.com,4.9,66,Landscaper,Landscaping,2026-05-28T14:54:56.401696,"5529+X2 Austin, Texas, USA",,Closed · Opens 8 AM,,"https://www.google.com/maps/place/Austin+Creative+Landscaping+LLC/@30.1524369,-97.8323998,17z/data=!3m1!4b1!4m6!3m5!1s0x865b4daba3a186dd:0x31ac55be3d086492!8m2!3d30.1524369!4d-97.8323998!16s%2Fg%2F12qhd3ms6?entry=ttu&g_ep=EgoyMDI2MDUyNS4wIKXMDSoASAFQAw%3D%3D",30.1524369,-97.8323998,"['info@austincreativelandscaping.com', 'aclscaping@gmail.com']",https://austincreativelandscaping.com
Legacy Turf and Greens,+1 737-234-2065,info@turfaustin.com,Duda,"8811 N Mopac Expy, Austin, TX 78759, United States",turfaustin.com,4.6,11,Turf supplier,Landscaping,2026-05-28T14:54:56.401696,"97G6+PX Austin, Texas, USA",,Closed · Opens 7 AM,,https://www.google.com/maps/place/Legacy+Turf+and+Greens/data=!4m7!3m6!1s0x8644ce8f3e7aaaab:0x65149fc3b3d5988a!8m2!3d30.376823!4d-97.737518!16s%2Fg%2F11fk0bfdfb!19sChIJq6p6Po_ORIYRipjVs8OfFGU,,,['info@turfaustin.com'],https://turfaustin.com
Transformed Landscaping Co.,+1 713-725-8302,transformedlandscaping@gmail.com,Webflow,"810 Philco Dr, Austin, TX 78745, United States",transformedlandscaping.com,4.8,58,Landscape designer,Landscaping,2026-05-28T14:54:56.401696,"669C+RV Austin, Texas, USA",,Closed · Opens 8 AM,,"https://www.google.com/maps/place/Transformed+Landscaping+Co./@30.2196201,-97.7778253,17z/data=!3m1!4b1!4m6!3m5!1s0x865b4b5879f30b77:0x8ed89414b9f8f9ee!8m2!3d30.2196201!4d-97.7778253!16s%2Fg%2F11gh_ft7s1?entry=ttu&g_ep=EgoyMDI2MDUyNS4wIKXMDSoASAFQAw%3D%3D",30.2196201,-97.7778253,['transformedlandscaping@gmail.com'],https://transformedlandscaping.com
Austin's Best Lawn and Landscape,+1 512-673-3138,hello@austinsbest.com,,"7310 Menchaca Rd, Austin, TX 78745, United States",austinsbestlawns.com,4.7,14,Landscaper,Landscaping,2026-05-28T14:54:56.401696,"55XR+MC Austin, Texas, USA",,Closed · Opens 5 AM,,"https://www.google.com/maps/place/Austin's+Best+Lawn+and+Landscape/@30.1992288,-97.8089004,17z/data=!3m1!4b1!4m6!3m5!1s0x865b4df191be1737:0xc35a4fb0588895f0!8m2!3d30.1992288!4d-97.8089004!16s%2Fg%2F11dxktznbg?entry=ttu&g_ep=EgoyMDI2MDUyNS4wIKXMDSoASAFQAw%3D%3D",30.1992288,-97.8089004,['hello@austinsbest.com'],https://austinsbestlawns.com
Austin Wholesale Landscape Supply,,sales@awlandscapesupply.com,Weebly,"408 W Braker Ln, Austin, TX 78753, United States",awlandscapesupply.com,4.7,199,Landscaping supply store,Landscaping,2026-05-28T14:54:56.401696,"98J8+8C Austin, Texas, USA","
Closed · Opens 7 AM

Confirmed by this business 5 weeks ago

See more hours

",,,"https://www.google.com/maps/place/Austin+Wholesale+Landscape+Supply/@30.380819,-97.6839641,17z/data=!3m1!4b1!4m6!3m5!1s0x8644c973c9cbaa15:0x78d3866ccf05195b!8m2!3d30.380819!4d-97.6839641!16s%2Fg%2F11k11_864j?entry=ttu&g_ep=EgoyMDI2MDUyNS4wIKXMDSoASAFQAw%3D%3D",30.380819,-97.6839641,"['sales@awlandscapesupply.com', 'atxlandscapewholesale@gmail.com', 'hi@mystore.com']",https://awlandscapesupply.com
Emerald Lawns - Austin Lawn Care,+1 512-990-2199,contact@power.com,HubSpot,"3574 Rockin J Rd, Round Rock, TX 78665, United States",emeraldlawns.com,4.8,3626,Lawn care service,Landscaping,2026-05-28T14:54:56.401696,"G9X9+J6 Round Rock, Texas, USA",,Closed · Opens 8 AM,,"https://www.google.com/maps/place/Emerald+Lawns+-+Austin+Lawn+Care/@30.5491129,-97.6319815,17z/data=!3m1!4b1!4m6!3m5!1s0x8644d19e14299587:0x3d13a58a3e4bd385!8m2!3d30.5491129!4d-97.6319815!16s%2Fg%2F1hc1cdbxp?entry=ttu&g_ep=EgoyMDI2MDUyNS4wIKXMDSoASAFQAw%3D%3D",30.5491129,-97.6319815,['contact@power.com'],https://emeraldlawns.com/contact-us
Pro Green Landscape Solutions,+1 512-559-1546,,,"1711 Big Bend Dr, Cedar Park, TX 78613, United States",progreenlandscapesolutions.com,4.9,385,Lawn sprinkler system contractor,Landscaping,2026-05-28T14:54:56.401696,"G5JC+JP Cedar Park, Texas, USA",,Open 24 hours,,"https://www.google.com/maps/place/Pro+Green+Landscape+Solutions/@30.5315141,-97.828221,17z/data=!3m1!4b1!4m6!3m5!1s0x865b336ab92dbc05:0xb8877aaabffa4b3d!8m2!3d30.5315141!4d-97.828221!16s%2Fg%2F11jht_0m5m?entry=ttu&g_ep=EgoyMDI2MDUyNS4wIKXMDSoASAFQAw%3D%3D",30.5315141,-97.828221,[],
Green Ease Landscapes & Design,+1 512-551-9381,clientservices@greeneaselandscapes.com,Wix,"15000 Ranch Rd 620 N, Austin, TX 78717, United States",greeneaselandscapes.com,4.9,93,Landscaper,Landscaping,2026-05-28T14:54:56.401696,"F7J3+V6 Austin, Texas, USA",,Closed · Opens 7:30 AM,,"https://www.google.com/maps/place/Green+Ease+Landscapes+%26+Design/@30.4822106,-97.746969,17z/data=!3m1!4b1!4m6!3m5!1s0x8644d1c545fd3dc1:0x7141ddf64c545307!8m2!3d30.4822106!4d-97.746969!16s%2Fg%2F11bv2gz5bb?entry=ttu&g_ep=EgoyMDI2MDUyNS4wIKXMDSoASAFQAw%3D%3D",30.4822106,-97.746969,"['clientservices@greeneaselandscapes.com', '18d2f96d279149989b95faf0a4b41882@sentry-next.wixpress.com', '5d1795a2db124a268f1e1bd88f503500@sentry.wixpress.com', '605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com', 'bfb679c754744c58a7374ee6e25cfc13@sentry.wixpress.com']",https://greeneaselandscapes.com
