title,category,phone,address,website,review_rating,review_count,url,scraped_at,plus_code,open_hours,status,price_range,link,latitude,longitude
Nevada Plumbing Authority,Plumber,+1 702-919-1924,,nevadaplumbingauthority.com,4.9,120,,2026-05-28T05:39:44.781696,,,Open 24 hours,,"https://www.google.com/maps/place/Nevada+Plumbing+Authority/@38.0674639,-94.958203,5z/data=!3m1!4b1!4m6!3m5!1s0x80c8ed68b871ad9d:0xb0021d9e10e9434a!8m2!3d38.0674639!4d-94.958203!16s%2Fg%2F11pqc65gmv?entry=ttu&g_ep=EgoyMDI2MDUyNS4wIKXMDSoASAFQAw%3D%3D",38.0674639,-94.958203
Kingdom Plumbing,Plumber,+1 702-840-5037,"8311 Farm Rd Suite B, Las Vegas, NV 89131, United States",kingdomplumbing.com,4.9,456,,2026-05-28T05:39:44.781696,"7PXF+F4 Las Vegas, Nevada, USA","
Open 24 hours

See more hours

",,,"https://www.google.com/maps/place/Kingdom+Plumbing/@36.2986388,-115.2771522,17z/data=!3m1!4b1!4m6!3m5!1s0x80c8ed46d3f14191:0xe1c3f0277b83d468!8m2!3d36.2986388!4d-115.2771522!16s%2Fg%2F11h_9v687l?entry=ttu&g_ep=EgoyMDI2MDUyNi4wIKXMDSoASAFQAw%3D%3D",36.2986388,-115.2771522
Water Wise Plumbing,Plumber,+1 702-597-9554,"9205 W Russell Rd #240, Las Vegas, NV 89148, United States",waterwiselv.com,4.8,353,,2026-05-28T05:39:44.781696,"3PM4+RP Las Vegas, Nevada, USA",,Closed · Opens 8 AM Thu,,"https://www.google.com/maps/place/Water+Wise+Plumbing/@36.0846196,-115.2931971,17z/data=!3m1!4b1!4m6!3m5!1s0x80c8b9bf1f78c61d:0x3d54eb4a9e94b307!8m2!3d36.0846196!4d-115.2931971!16s%2Fg%2F11h2cb0rl6?entry=ttu&g_ep=EgoyMDI2MDUyNS4wIKXMDSoASAFQAw%3D%3D",36.0846196,-115.2931971
Adaven Plumbing Inc,Plumber,+1 702-766-3320,"3230 E Charleston Blvd Ste. 118, Las Vegas, NV 89104, United States",adavenplumbinginc.com,5.0,653,,2026-05-28T05:39:44.781696,"5V5X+Q8 Las Vegas, Nevada, USA",,Open 24 hours,,"https://www.google.com/maps/place/Adaven+Plumbing+Inc/@36.1594719,-115.1016894,17z/data=!3m1!4b1!4m6!3m5!1s0x80c8c4bfec39f9c1:0x53c94f1d37eca72!8m2!3d36.1594719!4d-115.1016894!16s%2Fg%2F1ptwm41n7?entry=ttu&g_ep=EgoyMDI2MDUyNS4wIKXMDSoASAFQAw%3D%3D",36.1594719,-115.1016894
R&R Plumbing & AC Repair Las Vegas,Air conditioning repair service,+1 702-324-0670,"3808 Melody Ln Ste 150, Las Vegas, NV 89108, United States",rrheatingandairinc.com,4.9,157,,2026-05-28T05:39:44.781696,"5RR5+RJ Las Vegas, Nevada, USA",,Open 24 hours,,"https://www.google.com/maps/place/R%26R+Plumbing+%26+AC+Repair+Las+Vegas/@36.192117,-115.190977,17z/data=!3m1!4b1!4m6!3m5!1s0x80c8c17368f618d5:0x99fadc0553972ee9!8m2!3d36.192117!4d-115.190977!16s%2Fg%2F11vlh1p12j?entry=ttu&g_ep=EgoyMDI2MDUyNS4wIKXMDSoASAFQAw%3D%3D",36.192117,-115.190977
Active Plumbing,Plumber,+1 702-438-3357,"3580 Polaris Ave #17, Las Vegas, NV 89103, United States",activeplumbinginc.com,4.9,877,,2026-05-28T05:39:44.781696,"4RF7+GW Las Vegas, Nevada, USA",,Open 24 hours,,"https://www.google.com/maps/place/Active+Plumbing/@36.1237586,-115.1851298,17z/data=!3m1!4b1!4m6!3m5!1s0x80c8c41a993e78a1:0x72af29a31fbb9613!8m2!3d36.1237586!4d-115.1851298!16s%2Fg%2F1tlw9btz?entry=ttu&g_ep=EgoyMDI2MDUyNS4wIKXMDSoASAFQAw%3D%3D",36.1237586,-115.1851298
MC Plumbing LLC,Plumber,+1 702-341-5719,,mcplumbingllc.com,4.8,527,,2026-05-28T05:39:44.781696,,,Open · Closes 9 PM,,"https://www.google.com/maps/place/MC+Plumbing+LLC/@36.3100405,-115.0525004,11z/data=!3m1!4b1!4m6!3m5!1s0x80c8c28b4235b14f:0xf8417c95ac57ac62!8m2!3d36.3100404!4d-115.0525004!16s%2Fg%2F11c58nf9nn?entry=ttu&g_ep=EgoyMDI2MDUyNi4wIKXMDSoASAFQAw%3D%3D",36.3100405,-115.0525004
Much Better Plumbing,Plumber,+1 702-996-5220,,muchbetterplumbing.com,4.9,92,,2026-05-28T05:39:44.781696,,,Open 24 hours,,"https://www.google.com/maps/place/Much+Better+Plumbing/@36.0561135,-115.1072285,10z/data=!3m1!4b1!4m6!3m5!1s0x80c8c125d65b0671:0xe278a1e51aea2bd4!8m2!3d36.0561135!4d-115.1072285!16s%2Fg%2F11hy9nyx9w?entry=ttu&g_ep=EgoyMDI2MDUyNS4wIKXMDSoASAFQAw%3D%3D",36.0561135,-115.1072285
O'Rourke Plumbing Service,Plumber,+1 702-871-4666,"1800 Western Ave, Las Vegas, NV 89102, United States",orourkeplumbingservice.com,5.0,14,,2026-05-28T05:39:44.781696,"5R2P+36 Las Vegas, Nevada, USA",,Closes soon · 3:30 PM · Opens 7 AM Thu,,"https://www.google.com/maps/place/O'Rourke+Plumbing+Service/@36.1502066,-115.1644064,17z/data=!3m1!4b1!4m6!3m5!1s0x80c8c38ca982585b:0x88383b0fc4226da3!8m2!3d36.1502066!4d-115.1644064!16s%2Fg%2F1v8x2gl9?entry=ttu&g_ep=EgoyMDI2MDUyNS4wIKXMDSoASAFQAw%3D%3D",36.1502066,-115.1644064
Hips Plumbing,Plumber,+1 702-626-2147,"923 S Decatur Blvd, Las Vegas, NV 89107, United States",hipsplumbing.com,4.9,985,,2026-05-28T05:39:44.781696,"5Q6V+9Q Las Vegas, Nevada, USA",,Open 24 hours,,"https://www.google.com/maps/place/Hips+Plumbing/@36.160887,-115.2055476,17z/data=!3m1!4b1!4m6!3m5!1s0x80c8c131ca43a35f:0x20bff9c1e0c48e86!8m2!3d36.160887!4d-115.2055476!16s%2Fg%2F11pylwjjd6?entry=ttu&g_ep=EgoyMDI2MDUyNS4wIKXMDSoASAFQAw%3D%3D",36.160887,-115.2055476
